MOB,ID,customer_id,Var9,Var1,Var4,Var5,Var6,Var7,Var15,Var16,Var23,Var24,Var29,Var30,Var3,Var11,Var12,Var14,target,Var27,Var28,income,loan_desc,Var8_q,Var25_q,Var26_q,Var20_1,Var21_1,Var22_1,Var17_1,working_months_1,ii_ratio,idi_ratio
169,11034977,32537148,5640,1,2,9,1,0,0,0,1,0,0,0,1.0,5,8.0,2,0.0,0,0,1,3,10.0,3.0,0.0,1,1,1,3,2,0,0
169,11034978,32761663,3000,1,3,9,1,0,4,4,0,0,0,0,2.0,2,8.0,4,0.0,0,0,0,1,0.0,3.0,1.0,0,0,0,0,5,2,1
169,11034979,32701063,6240,2,0,2,1,0,0,0,2,0,0,0,1.0,5,5.0,1,0.0,0,0,5,5,10.0,3.0,0.0,1,1,1,5,9,0,3
169,11034980,32386786,4560,3,3,5,6,9,0,0,0,0,0,0,2.0,6,5.0,1,0.0,0,0,2,2,0.0,1.0,4.0,0,0,0,1,9,9,9
169,11034982,32861919,3960,1,2,6,1,0,1,1,2,0,0,0,1.0,5,8.0,0,0.0,0,0,0,4,10.0,0.0,10.0,0,1,1,0,0,2,2
169,11034984,32871226,4920,1,5,6,1,2,0,1,0,0,0,0,1.0,6,8.0,1,0.0,0,0,1,1,2.0,4.0,4.0,0,0,0,0,7,6,4
169,11034986,32381161,3360,2,2,4,1,1,2,2,1,0,0,0,1.0,4,5.0,1,0.0,0,0,1,1,0.0,0.0,10.0,0,1,1,1,8,3,8
169,11034987,32511006,5280,1,2,9,1,0,1,1,1,0,0,0,1.0,5,8.0,3,0.0,0,0,1,2,0.0,0.0,2.0,1,1,1,2,1,0,1
169,11034988,32649332,4080,2,3,6,1,1,0,0,2,0,0,0,1.0,5,2.0,4,0.0,0,0,2,3,10.0,0.0,3.0,0,1,1,3,2,2,9
169,11034989,32451570,2760,2,3,7,1,0,2,2,3,0,0,0,1.0,5,5.0,0,0.0,0,0,2,1,0.0,0.0,3.0,1,1,1,2,1,1,0
169,11034990,32557636,4560,2,4,7,1,1,1,1,1,0,0,0,2.0,2,5.0,1,0.0,0,0,2,2,0.0,10.0,10.0,0,1,1,3,4,2,8
169,11034991,32863656,3600,1,3,8,1,0,0,0,1,0,0,0,2.0,5,8.0,1,0.0,0,0,0,2,0.0,0.0,10.0,0,0,1,0,7,2,1
169,11034992,32440325,6960,1,2,2,1,3,1,1,2,0,0,0,2.0,5,8.0,4,0.0,0,0,2,4,10.0,2.0,4.0,0,1,1,1,9,5,3
169,11034993,32558790,8640,1,0,0,1,3,0,0,0,0,0,0,1.0,4,8.0,4,0.0,0,0,3,5,10.0,4.0,7.0,0,0,0,3,1,4,2
169,11034994,32589168,4320,2,3,7,6,8,2,3,6,0,0,0,1.0,5,5.0,3,0.0,0,0,3,2,0.0,2.0,10.0,0,1,2,3,3,8,9
169,11034996,32829423,3000,1,3,6,6,8,0,0,0,0,0,0,2.0,5,8.0,1,0.0,0,0,0,3,10.0,10.0,10.0,0,0,0,0,3,9,9
169,11034999,32717320,2640,1,3,8,3,4,0,0,1,0,1,0,2.0,3,8.0,0,0.0,0,0,0,3,10.0,10.0,10.0,0,0,0,0,3,9,8
169,11035000,32497797,3120,1,0,2,3,4,1,1,4,0,0,0,1.0,5,8.0,4,0.0,0,0,0,5,10.0,2.0,2.0,0,2,2,0,8,8,8
169,11035001,32483273,2880,1,0,2,1,0,0,0,1,0,0,0,1.0,5,8.0,0,0.0,0,0,0,5,10.0,0.0,10.0,0,0,1,0,5,5,6
169,11035002,32681074,3960,1,4,5,1,2,2,3,4,0,0,0,1.0,6,8.0,3,0.0,0,0,0,1,2.0,10.0,10.0,0,1,1,1,0,7,7
169,11035003,32551532,3720,1,0,4,1,0,0,2,2,0,0,0,1.0,5,8.0,4,0.0,0,0,0,5,10.0,0.0,1.0,1,1,1,0,7,1,1
169,11035004,32619381,4920,1,0,0,1,3,0,2,0,0,0,0,1.0,5,8.0,2,0.0,0,0,1,5,10.0,0.0,10.0,0,0,0,2,7,7,7
169,11035005,32581909,6240,1,3,6,1,1,0,0,1,0,0,0,1.0,5,8.0,2,0.0,0,0,2,3,10.0,2.0,10.0,1,1,1,1,3,2,1
169,11035006,32869375,2880,1,4,9,3,3,2,2,0,0,0,0,1.0,5,8.0,0,0.0,0,0,0,1,1.0,3.0,1.0,0,0,0,0,4,8,8
169,11035007,32489358,5520,1,0,1,1,1,4,4,1,0,0,0,2.0,5,8.0,0,0.0,0,0,1,5,10.0,3.0,2.0,0,1,1,1,0,3,2
169,11035008,32409694,6720,1,3,2,1,5,0,0,2,0,0,0,1.0,5,8.0,0,0.0,0,0,2,2,0.0,6.0,8.0,1,1,1,4,7,7,7
169,11035012,32583573,4080,2,4,8,1,0,1,1,1,0,0,0,1.0,5,4.0,1,0.0,0,0,4,1,0.0,5.0,0.0,0,0,1,4,1,0,9
169,11035013,32782963,4680,1,5,9,1,0,1,1,0,0,0,0,1.0,5,8.0,0,0.0,0,0,0,1,0.0,10.0,10.0,0,0,0,2,0,2,2
169,11035016,32467282,5400,2,2,4,1,2,0,0,1,0,2,0,1.0,5,5.0,1,0.0,0,0,3,4,10.0,2.0,5.0,0,0,0,2,3,2,5
169,11035017,32873534,6240,4,2,8,1,0,1,1,5,0,0,0,1.0,6,5.0,2,0.0,0,0,4,3,10.0,0.0,10.0,2,2,2,5,5,0,2
168,11035020,32454722,3600,1,5,6,6,9,0,2,3,0,0,0,1.0,1,8.0,0,0.0,0,0,0,2,2.0,2.0,10.0,0,0,1,0,2,9,9
168,11035021,32642318,4080,1,3,4,1,2,2,3,1,0,0,0,2.0,6,8.0,3,0.0,0,0,0,2,1.0,1.0,3.0,0,1,1,1,9,7,6
168,11035022,32475127,4200,1,2,4,1,1,2,2,1,0,0,0,2.0,5,8.0,3,0.0,0,1,0,3,10.0,1.0,5.0,0,1,1,0,4,5,3
168,11035024,32770311,8160,1,3,1,1,6,0,0,1,0,0,0,2.0,5,8.0,1,0.0,0,0,3,1,0.0,0.0,8.0,0,0,0,4,9,7,7
168,11035025,32613129,7800,1,2,1,3,9,0,0,1,0,0,0,2.0,5,8.0,0,0.0,0,0,3,3,10.0,3.0,5.0,0,0,1,1,5,9,8
168,11035026,32696646,3000,1,3,9,1,0,1,1,1,0,1,0,1.0,5,8.0,1,0.0,0,0,0,3,10.0,0.0,10.0,0,0,1,0,6,3,1
168,11035027,32376027,5040,1,3,6,1,1,3,5,1,0,0,0,1.0,6,8.0,1,0.0,0,0,1,1,1.0,1.0,10.0,0,1,1,1,9,3,3
